image_name,y_val
642x361_What_Does_Arthritis_Look_Like_on_an_MRI-SLIDE_2.jpg,0
75yo_male.jpg,0
abdomen.png,0
Abdomen_CT_Scan.jpg,0
Brain-MRI-e1565353833878.jpg,0
brain-scan-MRI-500x282.png,0
d0ece789a67587d2768e013a84fe12_big_gallery.jpg,0
spine.jpg,0
images1.jpg,0
index1.jpg,0
MR-abdomen-pelvis.jpg,0
mri-of-the-shoulder2.jpg,0
MRI_Head_Brain_Normal.jpg,0
1.JPG,1
123.jpg,1
2.JPG,1
3.JPG,1
4.JPG,1
5.JPG,1
6.JPG,1
7.JPG,1
A307975_1_En_5_Fig5_HTML.jpg,1
asdf.jpg,1
c168a864ac3347efa8a6d65bac48150a.jpg,1
Fig5without-MAR.jpg,1
images.jpg,1
index.jpg,1
Metal-streak-artifacts-due-to-the-presence-of-amalgam-dental-fillings.png,1
